Date,start_time,end_time,Open,High,Low,Close
20200901,9:05,9:35,11464.3,11510.0,11370.1,11496.65
20200901,9:35,10:05,11496.85,11507.3,11366.9,11405.8
20200901,10:05,10:35,11404.7,11452.95,11394.05,11436.65
20200901,10:35,11:05,11435.9,11464.9,11426.45,11447.5
20200901,11:05,11:35,11446.95,11457.55,11391.1,11421.25
20200901,11:35,12:05,11421.75,11495.95,11413.05,11448.1
20200901,12:05,12:35,11447.85,11468.9,11435.6,11458.5
20200901,12:35,13:05,11458.15,11535.55,11456.35,11525.95
20200901,13:05,13:35,11525.7,11553.55,11503.8,11514.15
20200901,13:35,14:05,11514.4,11524.0,11452.45,11469.5
20200901,14:05,14:35,11469.6,11501.0,11423.85,11428.0
20200901,14:35,15:05,11428.1,11462.0,11400.1,11451.0
20200901,15:05,15:35,11451.35,11496.1,11447.9,11470.25
20200902,9:05,9:35,11478.55,11506.25,11449.3,11500.7
20200902,9:35,10:05,11500.45,11520.45,11488.85,11495.2
20200902,10:05,10:35,11495.25,11495.25,11431.95,11438.7
20200902,10:35,11:05,11439.4,11472.7,11430.4,11469.4
20200902,11:05,11:35,11469.8,11491.75,11457.05,11476.15
20200902,11:35,12:05,11476.0,11495.9,11465.0,11474.05
20200902,12:05,12:35,11472.95,11479.5,11441.6,11456.1
20200902,12:35,13:05,11455.25,11475.8,11444.35,11460.7
20200902,13:05,13:35,11460.9,11476.7,11451.1,11458.05
20200902,13:35,14:05,11458.35,11491.05,11456.15,11478.6
20200902,14:05,14:35,11479.3,11544.7,11478.15,11538.8
20200902,14:35,15:05,11539.1,11549.25,11511.6,11527.6
20200902,15:05,15:35,11527.2,11554.75,11524.55,11535.0
20200903,9:05,9:35,11566.2,11584.95,11534.95,11554.75
20200903,9:35,10:05,11553.1,11567.3,11545.1,11558.0
20200903,10:05,10:35,11557.95,11572.7,11547.6,11555.2
20200903,10:35,11:05,11555.15,11570.15,11551.4,11562.85
20200903,11:05,11:35,11562.5,11568.05,11525.1,11527.6
20200903,11:35,12:05,11527.9,11543.85,11514.8,11538.85
20200903,12:05,12:35,11539.1,11541.2,11507.65,11529.65
20200903,12:35,13:05,11529.75,11565.0,11525.65,11565.0
20200903,13:05,13:35,11564.65,11570.7,11544.0,11545.25
20200903,13:35,14:05,11545.65,11560.75,11538.75,11552.8
20200903,14:05,14:35,11552.75,11566.15,11534.0,11549.2
20200903,14:35,15:05,11549.65,11554.2,11517.6,11531.15
20200903,15:05,15:35,11530.65,11537.9,11516.05,11527.45
20200904,9:05,9:35,11354.4,11376.35,11332.85,11365.85
20200904,9:35,10:05,11365.75,11409.8,11357.7,11397.9
20200904,10:05,10:35,11397.8,11410.15,11385.9,11387.9
20200904,10:35,11:05,11388.15,11401.8,11375.25,11388.55
20200904,11:05,11:35,11388.85,11416.05,11384.0,11398.65
20200904,11:35,12:05,11400.55,11409.25,11390.3,11400.45
20200904,12:05,12:35,11400.85,11419.15,11385.25,11390.1
20200904,12:35,13:05,11390.45,11439.85,11387.35,11434.35
20200904,13:05,13:35,11434.2,11452.05,11423.4,11435.05
20200904,13:35,14:05,11435.5,11439.25,11402.0,11413.7
20200904,14:05,14:35,11413.45,11418.15,11359.75,11372.4
20200904,14:35,15:05,11372.7,11373.6,11303.65,11310.6
20200904,15:05,15:35,11311.5,11358.55,11311.2,11333.85
20200907,9:05,9:35,11359.6,11373.3,11301.45,11310.35
20200907,9:35,10:05,11309.45,11315.4,11251.7,11299.25
20200907,10:05,10:35,11299.65,11325.5,11290.55,11316.2
20200907,10:35,11:05,11316.3,11316.3,11292.7,11309.6
20200907,11:05,11:35,11309.4,11352.5,11308.1,11343.1
20200907,11:35,12:05,11342.9,11346.2,11309.9,11315.0
20200907,12:05,12:35,11315.25,11331.5,11311.15,11327.5
20200907,12:35,13:05,11326.65,11334.65,11302.55,11318.25
20200907,13:05,13:35,11318.35,11350.8,11317.55,11326.9
20200907,13:35,14:05,11327.05,11342.1,11325.65,11332.7
20200907,14:05,14:35,11333.3,11365.8,11288.6,11291.1
20200907,14:35,15:05,11292.05,11334.5,11279.2,11334.5
20200907,15:05,15:35,11334.1,11381.15,11324.35,11355.05
20200908,9:05,9:35,11378.55,11379.0,11328.75,11344.6
20200908,9:35,10:05,11344.5,11378.35,11340.6,11367.55
20200908,10:05,10:35,11367.6,11419.65,11366.75,11412.0
20200908,10:35,11:05,11411.4,11432.4,11402.0,11411.8
20200908,11:05,11:35,11411.7,11418.2,11394.25,11408.75
